preference_id,tag
1,academic
1,research
1,science
2,programming
2,technology
2,web development
3,networking
3,social
3,entertainment
4,cultural
4,performance
4,diversity
5,lectures
5,academic
5,research
6,workshop
6,technology
6,programming
7,academic
7,science
7,environment
8,sports
8,fitness
8,health
9,arts
9,culture
9,performance
10,design
10,creativity
10,technology
11,academic
11,science
11,medicine
12,wellness
12,health
12,fitness
13,academic
13,research
13,innovation
14,business
14,networking
14,career
15,science
15,technology
15,research
16,programming
16,technology
16,education
17,literature
17,arts
17,creativity
18,writing
18,creativity
18,education